SpName,TraitName,ValueQ,Units,ValueC,ValueT,CitName,Notes
Achnatherum lemmonii,Growth_form_std,,,graminoid,,--
Achnatherum lemmonii,Habit,,,herbaceous,,--
Achnatherum lemmonii,Habitat_main,,,woodland,,--
Achnatherum lemmonii,Height_max,90,cm,,,Flora ID Northwest 04
Achnatherum lemmonii,Leaf_division,,,simple,,--
Achnatherum lemmonii,Leaf_margin,,,entire,,--
Achnatherum lemmonii,Leaf_shape,,,,linear,--
Achnatherum lemmonii,Perenniality,,,perennial,,--
Achnatherum lemmonii,Propagation_mode,,,seed and vegetative,,--
Achnatherum lemmonii,Ps_pathway,,,C4,,--
Achnatherum lemmonii,Reproductive_sched,,,polycarpy,,--
Achnatherum lemmonii,Root_system,,,fibrous,,--
Achnatherum lemmonii,Status_Federal,,,none,,--
Achnatherum lemmonii,Status_ONHIC,,,none,,--
Achnatherum lemmonii,Status_State,,,none,,--
Achnatherum lemmonii,Stem_arrangement,,,single upright,,--
Achnatherum lemmonii,Synonym,,,,Stipa lemmonii,--
Achnatherum lemmonii,Taxonomic_group,,,monocot,,
Achnatherum lemmonii,Where_native,,,Willamette Valley,,--
Agoseris grandiflora,Authority,,,,(Nutt.) Greene,--
Agoseris grandiflora,Clonality,,,non-clonal,,--
Agoseris grandiflora,Code,,,,AGGR,"USDA, NRCS 07"
Agoseris grandiflora,Common_name,,,,bigflower agoseris,"USDA, NRCS 07"
Agoseris grandiflora,Diaspore_feature,,,pappus or hair,,Flora ID Northwest 04
Agoseris grandiflora,Dispersal_peak_month,7,month,,,Boyer 07a
Agoseris grandiflora,Dormancy_break_mech,,,not stratification,,Young 01a,
Agoseris grandiflora,Dormancy_break_mech,,,stratification,,Boyer 07a,
Agoseris grandiflora,Family,,,,Asteraceae,"USDA, NRCS 07",
Agoseris grandiflora,Flowering_peak_month,6,month,,,Boyer 07a,
Agoseris grandiflora,Germination_peak_month,11,month,,,Boyer 07a,
Agoseris grandiflora,Germination_rate,29,%,,,Roberts and Clark 04b,
Agoseris grandiflora,Germination_rate,43,%,,,Roberts and Clark 04a,
Agoseris grandiflora,Germination_rate,56,mg,,,Clark et al 08b,
Agoseris grandiflora,Growth_form_Corn,,,short basal,,--,
Agoseris grandiflora,Growth_form_std,,,dicot forb,,--,
Agoseris grandiflora,Habit,,,herbaceous,,--,
Agoseris grandiflora,Habitat_main,,,upland prairie,,Boyer 07a,
Agoseris grandiflora,Height_max,50,cm,,,Flora ID Northwest 04,
Agoseris grandiflora,LAR_standard,47.25184631, mm2/mg,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Leaf_area_21d,415.2049866, mm2,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Leaf_division,,,simple,,Flora ID Northwest 04,
Agoseris grandiflora,Leaf_margin,,,entire,,Flora ID Northwest 04,
Agoseris grandiflora,Leaf_margin,,,toothed,,Flora ID Northwest 04,
Agoseris grandiflora,Leaf_shape,,,,linear,Flora ID Northwest 04,
Agoseris grandiflora,Life_form,,,hemicryptophyte,,--,
Agoseris grandiflora,LMR_standard,0.708053529, mg/mg,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Mass_aboveground_21d,6.489999771,  mg,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Mass_root_21d,1.679999948,  mg,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Mass_seed,1.190000057,mg,,,Flynn et al. 06,
Agoseris grandiflora,Mass_seed,0.345333338,mg,,,Clark et al 08b,
Agoseris grandiflora,Nitrogen_fixing,,,No,,--,
Agoseris grandiflora,Perenniality,,,perennial,,"USDA, NRCS 07",
Agoseris grandiflora,Propagation_mode,,,seed,,--,
Agoseris grandiflora,Reproductive_sched,,,polycarpy,,Flora ID Northwest 04,
Agoseris grandiflora,RGR_standard,0.155386686,per day,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Root_system,,,tap,,Flora ID Northwest 04,
Agoseris grandiflora,RSA_standard,0.761182904, --,,,Clark et al 08,Standard conditions
Agoseris grandiflora,SLA_standard,67.26829529, mm2/mg,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Status_Federal,,,none,,--,
Agoseris grandiflora,Status_ONHIC,,,none,,--,
Agoseris grandiflora,Status_State,,,none,,--,
Agoseris grandiflora,Stem_arrangement,,,multiple upright,,--,
Agoseris grandiflora,ULR_standard,0.003151658,mg/mm2/day,,,Clark et al 08,Standard conditions
Agoseris grandiflora,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07",
Agoseris grandiflora,Where_native,,,Willamette Valley,,--,
Agrostis capillaris,Authority,,,,L.,--,
Agrostis capillaris,Breeding,,,allogamy,,--,
Agrostis capillaris,Clonality,,,clonal rhizomes,,Ecol. Flora British Isles,
Agrostis capillaris,Clonality,,,clonal aboveground,,Ecol. Flora British Isles,stolons rarely
Agrostis capillaris,Code,,,,AGCA5,--,
Agrostis capillaris,Common_name,,,,colonial bentgrass,--,
Agrostis capillaris,Diaspore_feature,,,awn,,Flora ID Northwest 04,
Agrostis capillaris,Dispersal_peak_month,9,month,,,Grime et al. 90,
Agrostis capillaris,Dormancy_break_mech,,,not stratification,,Toole and Koch 77,
Agrostis capillaris,Family,,,,Poaceae,--,
Agrostis capillaris,Flowering_peak_month,7,month,,,Ecol. Flora British Isles,
Agrostis capillaris,Germination_peak_month,10,month,,,Grime et al. 90,Seeds germinate in fall and spring
Agrostis capillaris,Germination_peak_month,3,month,,,Grime et al. 90,Seeds germinate in autumn and spring
Agrostis capillaris,Germination_rate,92,%,,,Toole and Koch 77,Seeds in alternating light and dark
Agrostis capillaris,Germination_rate,87,%,,,Toole and Koch 77,Seeds in continuous darkness
Agrostis capillaris,Germination_rate,44,mg,,,Clark et al 08b,
Agrostis capillaris,Growth_form_Corn,,,tussock,,--,
Agrostis capillaris,Growth_form_std,,,graminoid,,--,
Agrostis capillaris,Habit,,,herbaceous,,--,
Agrostis capillaris,Habitat_main,,,wetland prairie,,--,
Agrostis capillaris,Height_max,75,cm,,,Flora ID Northwest 04,
Agrostis capillaris,LAR_standard,45.88288498, mm2/mg,,,Clark et al 08,Standard conditions
Agrostis capillaris,Leaf_area_21d,223.8999939, mm2,,,Clark et al 08,Standard conditions
Agrostis capillaris,Leaf_division,,,simple,,--,
Agrostis capillaris,Leaf_margin,,,entire,,--,
Agrostis capillaris,Leaf_shape,,,,linear,--,
Agrostis capillaris,Life_form,,,hemicryptophyte,,--,
Agrostis capillaris,LMR_standard,0.908704102, mg/mg,,,Clark et al 08,Standard conditions
Agrostis capillaris,Mass_aboveground_21d,4.46999979,  mg,,,Clark et al 08,Standard conditions
Agrostis capillaris,Mass_root_21d,0.99000001,  mg,,,Clark et al 08,Standard conditions
Agrostis capillaris,Mass_seed,0.059999999,mg,,,Flynn et al. 06,
Agrostis capillaris,Mass_seed,0.059999999,mg,,,Grime et al. 90,
Agrostis capillaris,Mass_seed,0.090333335,mg,,,Clark et al 08b,
Agrostis capillaris,Nitrogen_fixing,,,No,,--,
Agrostis capillaris,Perenniality,,,perennial,,--,
Agrostis capillaris,Propagation_mode,,,seed and vegetative,,--,
Agrostis capillaris,Ps_pathway,,,C3,,Ecol. Flora British Isles,
Agrostis capillaris,Reproductive_sched,,,polycarpy,,--,
Agrostis capillaris,RGR_seedling,0.029999999,mg total biomass/d,,,Davis 97,
Agrostis capillaris,RGR_standard,0.241775677,per day,,,Clark et al 08,Standard conditions
Agrostis capillaris,Root_system,,,fibrous,,--,
Agrostis capillaris,RSA_standard,0.853728771, --,,,Clark et al 08,Standard conditions
Agrostis capillaris,Seed_bank,,,yes,,Ecol. Flora British Isles,
Agrostis capillaris,SLA_standard,50.61793137, mm2/mg,,,Clark et al 08,Standard conditions
Agrostis capillaris,Status_Federal,,,none,,--,
Agrostis capillaris,Status_ONHIC,,,none,,--,
Agrostis capillaris,Status_State,,,none,,--,
Agrostis capillaris,Stem_arrangement,,,multiple upright,,--,
Agrostis capillaris,Synonym,,,,Agrostis tenuis,--,
Agrostis capillaris,Taxonomic_group,,,monocot,,,
Agrostis capillaris,ULR_standard,0.006295247,mg/mm2/day,,,Clark et al 08,Standard conditions
Agrostis capillaris,Wetland_Indicator_Status,,,FAC,,"USDA, NRCS 07",
Agrostis capillaris,Where_native,,,Eurasia,,--,
Agrostis diegoensis,Authority,,,,Vasey,--,
Agrostis diegoensis,Code,,,,AGPA8,"USDA, NRCS 05",
Agrostis diegoensis,Common_name,,,,bentgrass,--,
Agrostis diegoensis,Diaspore_feature,,,awn,,--
Agrostis diegoensis,Family,,,,Poaceae,--
Agrostis diegoensis,Growth_form_std,,,graminoid,,--
Agrostis diegoensis,Habit,,,herbaceous,,--
Agrostis diegoensis,Habitat_main,,,upland prairie,,--
Agrostis diegoensis,Height_max,70,cm,,,Flora ID Northwest 04
Agrostis diegoensis,Leaf_division,,,simple,,--
Agrostis diegoensis,Leaf_margin,,,entire,,--
Agrostis diegoensis,Leaf_shape,,,,linear,--
Agrostis diegoensis,Perenniality,,,perennial,,--
Agrostis diegoensis,Propagation_mode,,,seed and vegetative,,--
Agrostis diegoensis,Reproductive_sched,,,polycarpy,,--
Agrostis diegoensis,Root_system,,,fibrous,,--
Agrostis diegoensis,Status_Federal,,,none,,--
Agrostis diegoensis,Status_ONHIC,,,none,,--
Agrostis diegoensis,Status_State,,,none,,--
Agrostis diegoensis,Stem_arrangement,,,multiple upright,,--,
Agrostis diegoensis,Taxonomic_group,,,monocot,,,
Agrostis diegoensis,Where_native,,,Willamette Valley,,--,
Agrostis exarata,Authority,,,,Trin.,--,
Agrostis exarata,Clonality,,,clonal rhizomes,,Flora ID Northwest 04,
Agrostis exarata,Code,,,,AGEX,--,
Agrostis exarata,Common_name,,,,spike bentgrass,--,
Agrostis exarata,Diaspore_feature,,,awn,,--,sometimes without awn
Agrostis exarata,Dormancy_break_mech,,,not stratification,,Roberts 05,
Agrostis exarata,Family,,,,Poaceae,--,
Agrostis exarata,Flowering_peak_month,7,month,,,FS Databse 97,
Agrostis exarata,Germination_rate,85,%,,,FS Databse 97,Under optimal conditions
Agrostis exarata,Growth_form_Corn,,,tussock,,,
Agrostis exarata,Growth_form_std,,,graminoid,,--,
Agrostis exarata,Habit,,,herbaceous,,--,
Agrostis exarata,Habitat_main,,,wetland prairie,,--,
Agrostis exarata,Height_max,100,cm,,,Flora ID Northwest 04
Agrostis exarata,Leaf_division,,,simple,,--
Agrostis exarata,Leaf_margin,,,entire,,--
Agrostis exarata,Leaf_shape,,,,linear,--
Agrostis exarata,Life_form,,,hemicryptophyte,,--
Agrostis exarata,Life_form_exp,,,H mstem,,
Agrostis exarata,Mass_seed,0.0836,mg,,,Roberts 05b
Agrostis exarata,Perenniality,,,perennial,,--
Agrostis exarata,Propagation_mode,,,seed and vegetative,,--
Agrostis exarata,Reproductive_sched,,,polycarpy,,--
Agrostis exarata,Root_system,,,fibrous,,--
Agrostis exarata,Seed_length,1.646000028,mm,,,Roberts 05b
Agrostis exarata,Seed_shape,0.248449996,mm3,,,Roberts 05b
Agrostis exarata,Status_Federal,,,none,,--
Agrostis exarata,Status_ONHIC,,,none,,--
Agrostis exarata,Status_State,,,none,,--
Agrostis exarata,Stem_arrangement,,,multiple upright,,--,
Agrostis exarata,Taxonomic_group,,,monocot,,,
Agrostis exarata,Wetland_Indicator_Status,,,FACW,,"USDA, NRCS 05",
Agrostis exarata,Where_native,,,Willamette Valley,,--,
Agrostis stolonifera,Authority,,,,L.,--,
Agrostis stolonifera,Clonality,,,clonal rhizomes,,Flora ID Northwest 04,
Agrostis stolonifera,Clonality,,,clonal aboveground,,Ecol. Flora British Isles,stolons
Agrostis stolonifera,Code,,,,AGST2,"USDA, NRCS 07",
Agrostis stolonifera,Common_name,,,,creeping bentgrass,"USDA, NRCS 07",
Agrostis stolonifera,Diaspore_feature,,,none,,Ecol. Flora British Isles,
Agrostis stolonifera,Dispersal_peak_month,9,month,,,Ecol. Flora British Isles,
Agrostis stolonifera,Dormancy_break_mech,,,not after-ripening,,Ecol. Flora British Isles,
Agrostis stolonifera,Dormancy_break_mech,,,not stratification,,Flynn et al. 06,
Agrostis stolonifera,Family,,,,Poaceae,--,
Agrostis stolonifera,Flowering_peak_month,7.5,month,,,Ecol. Flora British Isles,
Agrostis stolonifera,Germination_peak_month,3,month,,,Ecol. Flora British Isles,germinates in fall or spring
Agrostis stolonifera,Germination_peak_month,10,month,,,Ecol. Flora British Isles,germinates in fall or spring
Agrostis stolonifera,Germination_rate,100,%,,,Flynn et al. 06,
Agrostis stolonifera,Germination_rate,90.66666412,mg,,,Clark et al 08b,
Agrostis stolonifera,Growth_form_Corn,,,tussock,,--,
Agrostis stolonifera,Growth_form_std,,,graminoid,,--,
Agrostis stolonifera,Habit,,,herbaceous,,--,
Agrostis stolonifera,Habitat_main,,,upland prairie,,Cooke 97,
Agrostis stolonifera,Height_max,80,cm,,,Flora ID Northwest 04,
Agrostis stolonifera,LAR_standard,42.08834076, mm2/mg,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Leaf_area_21d,190.2962494, mm2,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Leaf_division,,,simple,,Ecol. Flora British Isles,
Agrostis stolonifera,Leaf_margin,,,entire,,Ecol. Flora British Isles,
Agrostis stolonifera,Leaf_shape,,,,linear,Grime et al. 90,
Agrostis stolonifera,Life_form,,,hemicryptophyte,,Ecol. Flora British Isles,
Agrostis stolonifera,LMR_standard,0.833463967, mg/mg,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Mass_aboveground_21d,3.375,  mg,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Mass_root_21d,0.699999988,  mg,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Mass_seed,0.059999999,mg,,,Flynn et al. 06,
Agrostis stolonifera,Mass_seed,0.101999998,mg,,,Clark et al 08b,
Agrostis stolonifera,Nitrogen_fixing,,,No,,--,
Agrostis stolonifera,Perenniality,,,perennial,,--,
Agrostis stolonifera,Propagation_mode,,,seed and vegetative,,Ecol. Flora British Isles,
Agrostis stolonifera,Ps_pathway,,,C3,,Ecol. Flora British Isles,
Agrostis stolonifera,Reproductive_sched,,,polycarpy,,Ecol. Flora British Isles,
Agrostis stolonifera,RGR_standard,0.215524346,per day,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Root_system,,,fibrous,,--,
Agrostis stolonifera,RSA_standard,0.59927541, --,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Seed_bank,,,yes,,Ecol. Flora British Isles,
Agrostis stolonifera,SLA_standard,50.67590714, mm2/mg,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Status_Federal,,,none,,--,
Agrostis stolonifera,Status_ONHIC,,,none,,--,
Agrostis stolonifera,Status_State,,,none,,--,
Agrostis stolonifera,Stem_arrangement,,,multiple upright,,--,
Agrostis stolonifera,Synonym,,,,Agrostis alba,--,
Agrostis stolonifera,ULR_standard,0.005669074,mg/mm2/day,,,Clark et al 08,Standard conditions
Agrostis stolonifera,Wetland_Indicator_Status,,,FAC,,"USDA, NRCS 07",
Agrostis stolonifera,Where_native,,,Eurasia,,Ecol. Flora British Isles,
Aira caryophyllea,Authority,,,,L.,"USDA, NRCS 07",
Aira caryophyllea,Clonality,,,non-clonal,,Ecol. Flora British Isles,
Aira caryophyllea,Code,,,,AICA,"USDA, NRCS 07",
Aira caryophyllea,Common_name,,,,silver hairgrass,"USDA, NRCS 07",
Aira caryophyllea,Diaspore_feature,,,awn,,Flora ID Northwest 04,
Aira caryophyllea,Dispersal_peak_month,7,month,,,Roberts 06,
Aira caryophyllea,Dormancy_break_mech,,,not stratification,,Flynn et al. 06,
Aira caryophyllea,Dormancy_break_mech,,,not light,,Ecol. Flora British Isles,
Aira caryophyllea,Dormancy_break_mech,,,after-ripening,,Ecol. Flora British Isles,
Aira caryophyllea,Family,,,,Poaceae,--,
Aira caryophyllea,Flowering_peak_month,5,month,,,Ecol. Flora British Isles,
Aira caryophyllea,Germination_peak_month,10,month,,,Ecol. Flora British Isles,
Aira caryophyllea,Germination_rate,100,%,,,Flynn et al. 06,
Aira caryophyllea,Germination_rate,73.33333588,mg,,,Clark et al 08b,
Aira caryophyllea,Growth_form_Corn,,,tussock,,--,
Aira caryophyllea,Growth_form_std,,,graminoid,,--,
Aira caryophyllea,Habit,,,herbaceous,,--,
Aira caryophyllea,Habitat_main,,,upland prairie,,Cooke 97,
Aira caryophyllea,Height_max,20,cm,,,Flora ID Northwest 04,
Aira caryophyllea,LAR_standard,29.01701164, mm2/mg,,,Clark et al 08,Standard conditions
Aira caryophyllea,Leaf_area_21d,60.19749832, mm2,,,Clark et al 08,Standard conditions
Aira caryophyllea,Leaf_division,,,simple,,Ecol. Flora British Isles,
Aira caryophyllea,Leaf_margin,,,entire,,Ecol. Flora British Isles,
Aira caryophyllea,Leaf_shape,,,,linear,--,
Aira caryophyllea,Life_form,,,therophyte,,Ecol. Flora British Isles,
Aira caryophyllea,LMR_standard,0.694044888, mg/mg,,,Clark et al 08,Standard conditions
Aira caryophyllea,Mass_aboveground_21d,1.649999976,  mg,,,Clark et al 08,Standard conditions
Aira caryophyllea,Mass_root_21d,0.324999988,  mg,,,Clark et al 08,Standard conditions
Aira caryophyllea,Mass_seed,0.140000001,mg,,,Flynn et al. 06,
Aira caryophyllea,Mass_seed,0.086666666,mg,,,Clark et al 08b,
Aira caryophyllea,Nitrogen_fixing,,,No,,--,
Aira caryophyllea,Perenniality,,,annual,,--,
Aira caryophyllea,Propagation_mode,,,seed,,Ecol. Flora British Isles,
Aira caryophyllea,Ps_pathway,,,C3,,Ecol. Flora British Isles,
Aira caryophyllea,Reproductive_sched,,,monocarpy,,--,
Aira caryophyllea,RGR_standard,0.169496819,per day,,,Clark et al 08,Standard conditions
Aira caryophyllea,Root_system,,,fibrous,,--,
Aira caryophyllea,RSA_standard,0.521902859, --,,,Clark et al 08,Standard conditions
Aira caryophyllea,SLA_standard,27.86019325, mm2/mg,,,Clark et al 08,Standard conditions
Aira caryophyllea,Status_Federal,,,none,,--,
Aira caryophyllea,Status_ONHIC,,,none,,--,
Aira caryophyllea,Status_State,,,none,,--,
Aira caryophyllea,Stem_arrangement,,,multiple upright,,Klinkenberg 07,
Aira caryophyllea,Stem_arrangement,,,single upright,,Klinkenberg 07,
Aira caryophyllea,ULR_standard,0.006286644,mg/mm2/day,,,Clark et al 08,Standard conditions
Aira caryophyllea,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07",
Aira caryophyllea,Where_native,,,Europe,,Ecol. Flora British Isles,
Allium amplectens,Authority,,,,Torr.,--,
Allium amplectens,Clonality,,,clonal bulbs or corms,,Flora ID Northwest 04,
Allium amplectens,Code,,,,ALAM2,"USDA, NRCS 05",
Allium amplectens,Common_name,,,,onion,--,
Allium amplectens,Diaspore_feature,,,none,,,
Allium amplectens,Dispersal_mode,,,self,,Flora of North America,
Allium amplectens,Dormancy_break_mech,,,not stratification,,Guerrant and Raven 95,
Allium amplectens,Dormancy_break_mech,,,stratification,,Guerrant and Raven 95,
Allium amplectens,Family,,,,Liliaceae,--,
Allium amplectens,Flowering_peak_month,5.5,month,,,Flora ID Northwest 04,median of earliest 2 months listed
Allium amplectens,Germination_rate,68,%,,,Guerrant and Raven 95,Maximum germination
Allium amplectens,Growth_form_std,,,monocot forb,,--,
Allium amplectens,Habit,,,herbaceous,,--
Allium amplectens,Height_max,50,cm,,,Flora ID Northwest 04
Allium amplectens,Leaf_division,,,simple,,--
Allium amplectens,Leaf_margin,,,entire,,--
Allium amplectens,Leaf_shape,,,,linear,--
Allium amplectens,Life_form,,,geophyte,,
Allium amplectens,Life_form_exp,,,G bulb,,
Allium amplectens,Mass_seed,0.319999993,mg,,,Guerrant and Raven 95
Allium amplectens,Mass_seed,1.289999962,mg,,,Guerrant and Raven 95
Allium amplectens,Perenniality,,,perennial,,--
Allium amplectens,Propagation_mode,,,seed and vegetative,,--
Allium amplectens,Reproductive_sched,,,polycarpy,,--
Allium amplectens,Root_system,,,fibrous,,--
Allium amplectens,Seed_length,1.600000024,mm,,,Guerrant and Raven 95
Allium amplectens,Status_Federal,,,none,,--
Allium amplectens,Status_ONHIC,,,none,,--
Allium amplectens,Status_State,,,none,,--,
Allium amplectens,Stem_arrangement,,,single upright,,--,
Allium amplectens,Taxonomic_group,,,monocot,,,
Allium amplectens,Wetland_Indicator_Status,,,NL,,,
Allium amplectens,Where_native,,,Willamette Valley,,--,
Antennaria microphylla,Authority,,,,Rydb.,"USDA, NRCS 07",
Antennaria microphylla,Clonality,,,clonal aboveground,,Matthews 93,stolons
Antennaria microphylla,Code,,,,ANMI3,"USDA, NRCS 07",
Antennaria microphylla,Common_name,,,,littleleaf pussytoes,"USDA, NRCS 07",
Antennaria microphylla,Diaspore_feature,,,pappus or hair,,Gilkey and Dennis 01,
Antennaria microphylla,Dormancy_break_mech,,,stratification,,Scianna 03,
Antennaria microphylla,Family,,,,Asteraceae,--,
Antennaria microphylla,Flowering_peak_month,6,month,,,Matthews 93,
Antennaria microphylla,Germination_rate,53.33333206,mg,,,Clark et al 08b,
Antennaria microphylla,Growth_form_Corn,,,semi-basal,,--,
Antennaria microphylla,Growth_form_std,,,dicot forb,,--,
Antennaria microphylla,Habit,,,herbaceous,,--,
Antennaria microphylla,Habitat_main,,,upland prairie,,Matthews 93,
Antennaria microphylla,Height_max,30,cm,,,Matthews 93,
Antennaria microphylla,LAR_standard,77.40000153, mm2/mg,,,Clark et al 08,Standard conditions
Antennaria microphylla,Leaf_area_21d,60.16666794, mm2,,,Clark et al 08,Standard conditions
Antennaria microphylla,Leaf_division,,,simple,,Flora of North America,
Antennaria microphylla,Leaf_margin,,,entire,,Flora of North America,
Antennaria microphylla,Leaf_shape,,,,linear,Flora of North America,
Antennaria microphylla,Life_form,,,hemicryptophyte,,--,
Antennaria microphylla,LMR_standard,0.761904776, mg/mg,,,Clark et al 08,Standard conditions
Antennaria microphylla,Mass_aboveground_21d,0.5,  mg,,,Clark et al 08,Standard conditions
Antennaria microphylla,Mass_root_21d,0.125,  mg,,,Clark et al 08,Standard conditions
Antennaria microphylla,Mass_seed,0.064333335,mg,,,Clark et al 08b,
Antennaria microphylla,Nitrogen_fixing,,,No,,--,
Antennaria microphylla,Perenniality,,,perennial,,--,
Antennaria microphylla,Propagation_mode,,,seed and vegetative,,Matthews 93,
Antennaria microphylla,Reproductive_sched,,,polycarpy,,--,
Antennaria microphylla,Root_system,,,fibrous,,--,
Antennaria microphylla,Seed_bank,,,no,,Matthews 93,
Antennaria microphylla,SLA_standard,72.19999695, mm2/mg,,,Clark et al 08,Standard conditions
Antennaria microphylla,Status_Federal,,,none,,--,
Antennaria microphylla,Status_ONHIC,,,none,,--,
Antennaria microphylla,Status_State,,,none,,--,
Antennaria microphylla,Stem_arrangement,,,multiple upright,,Klinkenberg 07,
Antennaria microphylla,Synonym,,,,Antennaria rosea,--,
